"filename", "language", "Python", "Markdown", "PostCSS", "pip requirements", "JSON", "YAML", "Shell Script", "Batch", "Docker", "HTML", "JavaScript", "XML", "Ini", "comment", "blank", "total"
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\graph\light_graph_index.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 78
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\graph\lightrag_pipelines.py", "Python", 432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 99, 548
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\graph\nano_graph_index.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 78
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\graph\nano_pipelines.py", "Python", 441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 95, 550
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\graph\pipelines.py", "Python", 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 66, 403
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\graph\visualize.py", "Python", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 103
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\index.py", "Python", 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 57, 489
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\knet\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\knet\knet_index.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 48
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\knet\pipelines.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 29, 170
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\pipelines.py", "Python", 666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 106, 867
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\ui.py", "Python", 1614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 192, 1895
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\utils.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 59
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\manager.py", "Python", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 34, 201
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\models.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 20
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\ui.py", "Python", 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 37, 346
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\llms\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\llms\db.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 37
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\llms\manager.py", "Python", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 46, 234
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\llms\ui.py", "Python", 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48, 409
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\main.py", "Python", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 28, 211
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\mcp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\mcp\db.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 32
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\mcp\manager.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 89
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\mcp\ui.py", "Python", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 50, 367
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\chat\__init__.py", "Python", 1281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 133, 1459
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\chat\chat_panel.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 52
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\chat\chat_suggestion.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\chat\common.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\chat\control.py", "Python", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 65, 472
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\chat\demo_hint.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\chat\paper_list.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\chat\report.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 87
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\help.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 120
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\login.py", "Python", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 133
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\resources\__init__.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 69
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\resources\user.py", "Python", 372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 59, 455
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\settings.py", "Python", 373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 66, 487
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\pages\setup.py", "Python", 358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48, 413
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\reasoning\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\reasoning\base.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 8, 54
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\reasoning\prompt_optimization\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\reasoning\prompt_optimization\decompose_question.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 91
